X,Y,OBJECTID_1,OBJECTID,StaType,StnType,ZipCode,State,City,Address2,Address1,Name,Code,StationNam
-13625381.019,4549612.716,846,854,Curbside Bus Stop only (no shelter),BUS,94105,CA,San Francisco, ,555 Mission Street, ,SFC,"San Francisco, CA"
-9343427.1101,5378409.6572,847,855,Station Building (with waiting room),BUS,48607,MI,Saginaw, ,511 Johnson Street, ,SGW,"Saginaw, MI"
-9764281.5973,5426824.1948,848,856,Curbside Bus Stop only (no shelter),BUS,53081,WI,Sheboygan, ,830 Pennsylvania Avenue, ,SHB,"Sheboygan, WI"
-13671542.358,5759553.1125,849,857,Curbside Bus Stop only (no shelter),BUS,97051,OR,St. Helens, ,1155 Deer Island Road, ,SHE,"St. Helens, OR"
-10436945.8452,3829087.2507,850,858,Station Building (with waiting room),BUS,71101,LA,Shreveport, ,1237 Murphy Street,SporTran Intermodal Terminal,SHR,"Shreveport, LA"
-9864615.122,5582744.1865,851,859,Curbside Bus Stop only (no shelter),BUS,54166,WI,Shawano, ,N4543 State Highway 22, ,SHW,"Shawano, WI"
-13213086.4719,4065142.4385,852,860,Platform only (no shelter),TRAIN,93063,CA,Simi Valley, ,5050 Los Angeles Avenue, ,SIM,"Simi Valley, CA"
-13570113.2155,4485196.2081,853,861,Station Building (with waiting room),TRAIN,95110,CA,San Jose, ,65 Cahill Street,Diridon Station,SJC,"San Jose, CA"
-9627409.3252,5177334.3235,854,862,Station Building (with waiting room),TRAIN,49085,MI,St. Joseph, ,410 1/2 Vine Street, ,SJM,"St. Joseph-Benton Harbor, MI"
-8551617.9799,4989986.9498,855,863,Curbside Bus Stop only (no shelter),BUS,17876,PA,Shamokin Dam, ,3155 North Susquehanna Trail, ,SKD,"Shamokin Dam, PA"
-13509928.5191,6058948.3311,856,864,Curbside Bus Stop only (no shelter),BUS,98288,WA,Skykomish, ,147 5th Street North,Sky gas station,SKE,"Skykomish - Eastbound, WA"
-13501456.2488,4571725.8435,857,865,Station Building (with waiting room),TRAIN,95203,CA,Stockton, ,735 South San Joaquin Street,San Joaquin Street Station,SKN,"Stockton, CA"
-13500717.978,4573359.2116,858,866,Platform with Shelter,TRAIN,95202,CA,Stockton, ,949 East Channel St.,Robert J. Cabral Station,SKT,"Stockton, CA"
-13509745.1758,6059059.8387,859,867,Curbside Bus Stop only (no shelter),BUS,98288,WA,Skykomish, ,90000 NE Stevens Pass Highway,Big Bear Rest Stop restaurant,SKW,"Skykomish - Westbound, WA"
-9208111.194,5077560.6334,860,868,Station Building (with waiting room),TRAIN,44870,OH,Sandusky, ,1200 North Depot Street, ,SKY,"Sandusky, OH"
-12457599.6554,4977453.5836,861,869,Station Building (with waiting room),BUS,84101,UT,Salt Lake City, ,300 South 600 West,Intermodal Transportation Hub,SLB,"Salt Lake City, UT"
-12457581.733,4977250.9101,862,870,Station Building (with waiting room),TRAIN,84101,UT,Salt Lake City, ,340 South 600 West,Amtrak Station,SLC,"Salt Lake City, UT"
-11799254.9026,4653866.0631,863,871,Curbside Bus Stop only (no shelter),BUS,81201,CO,Salida, ,54 Jones Avenue, ,SLD,"Salida, CO"
-13696124.4669,5611796.5434,864,872,Curbside Bus Stop only (no shelter),BUS,97304,OR,Salem, ,1455 Edgewater St,Bus Stop,SLE,"Salem, OR"
-13351915.8687,4715627.9033,865,873,Curbside Bus Stop only (no shelter),BUS,96150,CA,Stateline, ,4114 Lake Tahoe Blvd, ,SLH,"Stateline, CA"
-13695452.7649,5610875.5189,866,874,Station Building (with waiting room),TRAIN,97301,OR,Salem, ,500 13th Street SE, ,SLM,"Salem, OR"
-13351084.0895,4717362.674,867,875,Curbside Bus Stop only (no shelter),BUS,89449,NV,Stateline, ,169 Highway 50, ,SLN,"Stateline, NV"
-13431221.2892,4201511.8248,868,876,Station Building (with waiting room),TRAIN,93401,CA,San Luis Obispo, ,1011 Railroad Avenue,Amtrak Station,SLO,"San Luis Obispo, CA"
-13431329.2694,4204569.8096,869,877,Curbside Bus Stop only (no shelter),BUS,93405,CA,San Luis Obispo, ,1 Grand Avenue,Cal Poly,SLP,"San Luis Obispo, CA"
-8182793.9381,5700408.8493,870,878,Station Building (with waiting room),TRAIN,J4P 2G5,QC,St-Lambert, ,329 avenue St-Denis, ,SLQ,"St-Lambert, QC"
-8416410.2686,4630689.9306,871,879,Curbside Bus Stop only (no shelter),BUS,21801,MD,Salisbury, ,547E Riverside Drive,BayRunner Shuttle Office,SLS,"Salisbury, MD"
-13358870.777,4709227.2661,872,880,Curbside Bus Stop only (no shelter),BUS,96151,CA,South Lake Tahoe, ,1000 Emerald Bay Road, ,SLT,"South Lake Tahoe, CA"
-13373989.5855,4109102.6781,873,881,Curbside Bus Stop only (no shelter),BUS,93463,CA,Solvang, ,1630 Mission Drive, ,SLV,"Solvang, CA"
-8405333.5306,4632716.1861,874,882,Station Building (with waiting room),BUS,21804,MD,Salisbury, ,31901 Tri County Way,Tri-County Multi-Purpose Center,SLY,"Salisbury, MD"
-10902748.5548,3487694.7013,875,883,Platform with Shelter,TRAIN,78666,TX,San Marcos, ,338 South Guadalupe Street, ,SMC,"San Marcos, TX"
-9941518.7456,5319245.5972,876,884,Curbside Bus Stop only (no shelter),BUS,53716,WI,Madison, ,4547 East Broadway Avenue,Dutch Mill Park and Ride,SMD,"Madison, WI"
-9392215.8239,5854934.2118,877,885,Curbside Bus Stop only (no shelter),BUS,49783,MI,Sault Sainte Marie, ,4001 I-75 Business Spur, ,SMI,"Sault Sainte Marie, MI"
